Episode,Iteration,Action,Done,Reward,CumulativeReward,PrevLocationX,PrevLocationY,NewLocationX,NewLocationY
14,3,up,False,0.0,0,0,2,0,2
14,4,left,False,0.0,0,0,2,0,2
14,5,right,False,0.0,0,0,2,0,2
14,6,up,False,0.0,0,0,2,0,2
14,7,right,False,0.0,0,0,2,0,2
14,8,right,False,0.0,0,0,2,0,2
14,9,left,False,0.0,0,0,2,0,2
14,10,up,False,0.0,0,0,2,0,1
14,11,down,True,0.0,0,0,1,1,1
15,1,right,False,0.0,0,0,1,0,1
15,2,right,False,0.0,0,0,1,0,2
15,3,left,False,0.0,0,0,2,0,1
15,4,up,False,0.0,0,0,1,0,2
15,5,left,False,0.0,0,0,2,0,2
15,6,left,False,0.0,0,0,2,0,1
15,7,left,False,0.0,0,0,1,0,0
15,8,up,False,0.0,0,0,0,0,0
15,9,up,False,0.0,0,0,0,0,0
15,10,up,False,0.0,0,0,0,0,0
15,11,down,False,0.0,0,0,0,0,1
15,12,right,False,0.0,0,0,1,0,1
15,13,right,False,0.0,0,0,1,0,2
15,14,up,False,0.0,0,0,2,0,2
15,15,right,False,0.0,0,0,2,0,3
15,16,left,True,0.0,0,0,3,1,3
16,1,up,False,0.0,0,0,0,0,1
16,2,right,True,0.0,0,0,1,1,1
17,1,right,True,0.0,0,0,1,1,1
18,1,right,False,0.0,0,0,0,1,0
18,2,right,False,0.0,0,1,0,0,0
18,3,left,False,0.0,0,0,0,0,0
18,4,up,False,0.0,0,0,0,0,0
18,5,left,False,0.0,0,0,0,0,0
18,6,down,False,0.0,0,0,0,1,0
18,7,right,False,0.0,0,1,0,0,0
18,8,down,False,0.0,0,0,0,1,0
18,9,right,True,0.0,0,1,0,1,1
19,1,right,False,0.0,0,0,0,0,0
19,2,left,False,0.0,0,0,0,1,0
19,3,down,False,0.0,0,1,0,2,0
19,4,right,True,0.0,0,2,0,3,0
20,1,left,True,0.0,0,0,1,1,1
